EmployeeNumber,Surname,GivenName,FullName,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,Agegroup,LengthService,lengthofservicecategory,AbsentHours,AbsentCategory,AbsentDays,BusinessUnit
1,Gutierrez,Molly,Gutierrez Molly,Female,Burnaby,Baker,Bakery,Burnaby,Stores,32,Adult,6,Level 2,37,Absent Category 1,2,Stores
2,Hardwick,Stephen,Hardwick Stephen,Male,Courtenay,Baker,Bakery,Nanaimo,Stores,40,Middle Aged,6,Level 2,30,Absent Category 1,1,Stores
3,Delgado,Chester,Delgado Chester,Male,Richmond,Baker,Bakery,Richmond,Stores,49,Middle Aged,4,Level 1,84,Absent Category 3,4,Stores
4,Simon,Irene,Simon Irene,Female,Victoria,Baker,Bakery,Victoria,Stores,45,Middle Aged,3,Level 1,70,Absent Category 2,3,Stores
5,Delvalle,Edward,Delvalle Edward,Male,New Westminster,Baker,Bakery,New Westminster,Stores,36,Adult,4,Level 1,0,Not Absent,0,Stores
6,Jones,Ernie,Jones Ernie,Male,Richmond,Baker,Bakery,Richmond,Stores,48,Middle Aged,3,Level 1,82,Absent Category 3,3,Stores
7,Buford,Ralph,Buford Ralph,Male,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,51,Elderly,10,Level 2,60,Absent Category 2,3,HeadOffice
8,Lee,Gregory,Lee Gregory,Male,Sechelt,Baker,Bakery,West Vancouver,Stores,36,Adult,4,Level 1,30,Absent Category 1,1,Stores
9,Smith,Jerry,Smith Jerry,Male,New Westminster,Baker,Bakery,New Westminster,Stores,58,Elderly,7,Level 2,182,Absent Category 5,8,Stores
10,Beard,Robert,Beard Robert,Male,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40,Middle Aged,14,Level 3,31,Absent Category 1,1,HeadOffice
11,Mathis,John,Mathis John,Male,New Westminster,Baker,Bakery,New Westminster,Stores,47,Middle Aged,5,Level 1,28,Absent Category 1,1,Stores
